,seg_index,time_index,Open,High,Low,Close,Adj Close,Volume
0,0,0,86.79526,88.740654,85.561806,87.24336,86.413246,103464310.0
1,0,1,86.63626,87.61496,84.66065,86.92925,86.93614,105007880.0
2,0,2,85.887405,86.11671,85.89511,86.0284,86.85826,101166250.0
3,0,3,86.28164,87.6782,86.977196,86.51054,85.83738,99754664.0
4,0,4,86.504845,87.546005,85.98933,86.40641,86.68899,104424104.0
5,0,5,87.61936,87.295944,85.51192,86.89797,86.80982,101491980.0
6,0,6,86.94506,87.50583,85.1567,87.06923,87.57003,105790140.0
7,0,7,87.50927,89.58985,85.78075,86.43805,87.73351,103847780.0
8,0,8,86.94927,86.88784,86.121765,85.63086,86.61622,108533780.0
9,0,9,86.510735,88.67489,85.06115,87.42749,87.90226,104843830.0
10,0,10,86.80281,88.515564,84.899055,88.03908,86.73608,105266520.0
11,0,11,86.74671,87.4578,85.44127,88.246956,87.874596,107916130.0
12,0,12,85.966705,87.55976,84.70497,87.66951,86.43839,106475280.0
13,0,13,86.79775,89.52047,87.00604,88.49156,86.58568,105219980.0
14,0,14,87.68694,88.27745,86.95271,86.298965,88.2946,102405070.0
15,0,15,88.683815,88.58454,87.31708,88.19697,88.450745,106298130.0
16,0,16,87.55932,88.82225,85.85156,87.47665,87.4504,106215370.0
17,0,17,88.01243,88.21413,87.0437,88.45714,87.71161,105269840.0
18,0,18,86.94646,88.50623,87.53658,87.61225,88.26482,101937470.0
19,0,19,88.67206,88.20633,87.40136,86.88379,86.97453,103155580.0
20,0,20,88.50207,89.2336,86.80984,88.36872,88.871124,102959350.0
21,0,21,89.307846,89.03361,86.76583,87.39989,88.20404,106318230.0
22,0,22,87.050186,87.98049,87.058624,87.58323,89.00241,102193830.0
23,0,23,87.3204,88.78642,85.7762,86.726845,88.44452,107976210.0
24,0,24,87.33403,87.964226,87.07133,88.03366,87.966194,105777970.0
25,0,25,87.87131,88.89104,86.29813,87.72251,87.2065,106239510.0
26,0,26,87.13336,88.65897,86.19799,88.44317,88.12853,100083816.0
